<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
25/09/18,115490,115510,115470,115470
25/09/18,115490,115490,115460,115490
25/09/18,115500,115520,115500,115510
25/09/18,115490,115490,115470,115490
25/09/18,115490,115500,115490,115490
25/09/18,115510,115510,115500,115510
25/09/18,115500,115520,115500,115520
25/09/18,115520,115530,115510,115530
25/09/18,115530,115540,115520,115530
25/09/18,115540,115540,115530,115540
25/09/18,115520,115530,115490,115510
25/09/18,115500,115510,115500,115500
25/09/18,115500,115500,115460,115470
25/09/18,115470,115490,115470,115490
25/09/18,115500,115530,115490,115520
25/09/18,115520,115520,115500,115520
25/09/18,115520,115540,115520,115520
25/09/18,115520,115560,115520,115550
25/09/18,115550,115550,115540,115550
25/09/18,115540,115550,115530,115550
25/09/18,115550,115550,115540,115540
25/09/18,115540,115540,115510,115530
25/09/18,115530,115530,115480,115490
25/09/18,115480,115480,115420,115460
25/09/18,115460,115500,115460,115490
25/09/18,115490,115520,115470,115480
25/09/18,115470,115500,115470,115490
25/09/18,115490,115510,115490,115490
25/09/18,115490,115520,115490,115520
25/09/18,115520,115520,115480,115480
25/09/18,115480,115480,115450,115460
25/09/18,115460,115470,115440,115450
25/09/18,115450,115470,115450,115460
25/09/18,115450,115450,115440,115450
25/09/18,115440,115460,115440,115460
25/09/18,115460,115470,115440,115450
25/09/18,115440,115450,115420,115450
25/09/18,115440,115490,115430,115480
25/09/18,115480,115510,115470,115490
25/09/18,115480,115490,115470,115490
25/09/18,115460,115520,115460,115500
25/09/18,115500,115520,115480,115480
25/09/18,115470,115500,115470,115500
25/09/18,115500,115510,115500,115510
25/09/18,115510,115530,115500,115500
25/09/18,115520,115520,115500,115520
25/09/18,115500,115510,115500,115510
25/09/18,115500,115500,115470,115500
25/09/18,115500,115520,115490,115500
25/09/18,115520,115530,115490,115500
25/09/18,115490,115510,115480,115480
25/09/18,115490,115500,115480,115480
25/09/18,115490,115510,115480,115510
25/09/18,115490,115510,115490,115500
25/09/18,115510,115530,115510,115530
25/09/18,115530,115540,115510,115520
25/09/18,115530,115540,115520,115530
25/09/18,115540,115540,115530,115540
25/09/18,115530,115550,115520,115520
25/09/18,115520,115540,115520,115540
25/09/18,115540,115560,115540,115550
25/09/18,115550,115580,115550,115560
25/09/18,115570,115580,115550,115560
25/09/18,115570,115580,115550,115580
25/09/18,115550,115570,115540,115540
25/09/18,115540,115550,115520,115550
25/09/18,115540,115550,115530,115540
25/09/18,115550,115580,115550,115560
25/09/18,115570,115570,115550,115550
25/09/18,115570,115570,115550,115570
25/09/18,115560,115560,115530,115530
25/09/18,115540,115550,115530,115540
25/09/18,115520,115520,115520,115520
25/09/18,115530,115560,115530,115550
25/09/18,115560,115560,115560,115560
25/09/18,115530,115530,115520,115520
25/09/18,115520,115530,115520,115520
25/09/18,115540,115550,115540,115550
25/09/18,115540,115550,115530,115540
25/09/18,115540,115570,115540,115570
25/09/18,115550,115550,115540,115540
25/09/18,115540,115550,115520,115520
25/09/18,115530,115540,115520,115530
25/09/18,115540,115540,115520,115520
25/09/18,115520,115530,115510,115510
25/09/18,115520,115520,115500,115520
25/09/18,115510,115520,115500,115510
25/09/18,115520,115520,115500,115500
25/09/18,115500,115500,115470,115470
25/09/18,115470,115490,115470,115490
25/09/18,115480,115480,115470,115480
25/09/18,115480,115490,115470,115480
25/09/18,115480,115480,115470,115470
25/09/18,115470,115480,115470,115480
25/09/18,115490,115510,115490,115510
25/09/18,115500,115530,115500,115530
25/09/18,115530,115540,115520,115520
25/09/18,115530,115530,115510,115530
25/09/18,115520,115520,115520,115520
25/09/18,115530,115530,115530,115530
25/09/18,115540,115540,115530,115540
25/09/18,115540,115560,115530,115540
25/09/18,115540,115540,115520,115530
25/09/18,115540,115550,115530,115550
25/09/18,115540,115540,115530,115530
25/09/18,115550,115550,115530,115530
25/09/18,115520,115540,115520,115530
25/09/18,115540,115640,115530,115620
25/09/18,115630,115670,115610,115640
25/09/18,115650,115690,115650,115660
25/09/18,115660,115710,115640,115710
25/09/18,115700,115720,115670,115670
25/09/18,115670,115690,115640,115670
25/09/18,115680,115700,115650,115670
25/09/18,115670,115670,115610,115640
25/09/18,115650,115660,115620,115620
25/09/18,115620,115670,115620,115650
25/09/18,115660,115690,115660,115690
25/09/18,115690,115690,115660,115680
25/09/18,115680,115680,115680,115680
25/09/18,115660,115670,115640,115670
25/09/18,115670,115680,115650,115660
25/09/18,115650,115680,115650,115670
25/09/18,115670,115670,115650,115650
25/09/18,115650,115660,115640,115660
25/09/18,115660,115700,115660,115690
25/09/18,115700,115700,115690,115700
25/09/18,115710,115720,115690,115700
25/09/18,115710,115710,115690,115710
25/09/18,115720,115720,115700,115700
25/09/18,115710,115710,115650,115670
25/09/18,115670,115730,115660,115730
25/09/18,115730,115730,115710,115710
25/09/18,115710,115710,115690,115700
25/09/18,115710,115710,115660,115670
25/09/18,115680,115690,115640,115660
25/09/18,115650,115660,115630,115630
25/09/18,115630,115680,115600,115670
25/09/18,115670,115690,115660,115680
25/09/18,115680,115680,115680,115680
25/09/18,115670,115670,115660,115660
25/09/18,115660,115660,115650,115660
25/09/18,115660,115660,115650,115650
25/09/18,115650,115670,115640,115670
25/09/18,115660,115660,115660,115660
25/09/18,115650,115690,115640,115670
25/09/18,115670,115680,115670,115670
25/09/18,115680,115690,115670,115670
25/09/18,115690,115700,115680,115680
25/09/18,115680,115680,115610,115610
25/09/18,115620,115640,115590,115620
25/09/18,115620,115650,115620,115630
25/09/18,115630,115650,115630,115640
25/09/18,115650,115680,115630,115680
25/09/18,115660,115660,115650,115660
25/09/18,115650,115660,115630,115640
25/09/18,115650,115670,115630,115630
25/09/18,115630,115630,115590,115600
25/09/18,115590,115610,115590,115600
25/09/18,115600,115620,115590,115610
25/09/18,115600,115600,115570,115580
25/09/18,115580,115590,115570,115580
25/09/18,115580,115580,115580,115580
25/09/18,115570,115590,115570,115590
25/09/18,115590,115600,115590,115600
25/09/18,115600,115600,115590,115590
25/09/18,115580,115590,115570,115580
25/09/18,115570,115590,115570,115590
25/09/18,115580,115580,115580,115580
25/09/18,115590,115590,115590,115590
25/09/18,115590,115620,115570,115620
